DATE,working_hour_manuf,CPI,Ids_Prd,R_Csump,Ef_Fed_Rate,Intr_10Y,Unemp,M2,M1,Labor_partic,Per_savings,All_Emp,Moody_aaa,NetExports
1960-01-01,40.6,29.37,24.2078,15.789,3.99,4.72,5.2,298.2,140.0,59.1,10.9,54274,4.61,
1960-02-01,40.3,29.41,23.9924,15.858,3.97,4.49,4.8,298.4,139.9,59.1,10.6,54513,4.56,
1960-03-01,40.0,29.41,23.777,16.083,3.84,4.25,5.4,299.3,139.8,58.5,9.4,54454,4.49,
1960-04-01,40.0,29.54,23.5885,16.331,3.92,4.28,5.2,300.1,139.6,59.5,8.4,54813,4.45,
1960-05-01,40.1,29.57,23.5616,16.002,3.85,4.35,5.1,300.9,139.6,59.5,10.4,54475,4.46,
1960-06-01,39.9,29.61,23.2654,15.998,3.32,4.15,5.4,302.3,139.6,59.7,10.4,54348,4.45,
1960-07-01,39.9,29.55,23.1846,16.031,3.23,3.9,5.5,304.1,140.2,59.5,10.4,54306,4.41,
1960-08-01,39.7,29.61,23.1577,16.016,2.98,3.8,5.6,306.9,141.3,59.5,10.3,54272,4.28,
1960-09-01,39.4,29.61,22.9153,16.092,2.6,3.8,5.5,308.4,141.2,59.7,10.0,54227,4.25,
1960-10-01,39.7,29.75,22.8884,16.17,2.47,3.89,6.1,309.5,140.9,59.4,9.8,54142,4.3,
1960-11-01,39.3,29.78,22.5653,16.114,2.44,3.93,6.1,310.9,140.9,59.8,9.8,53961,4.31,
1960-12-01,38.4,29.81,22.1344,15.916,1.98,3.84,6.6,312.4,140.7,59.7,10.4,53742,4.35,
1961-01-01,39.3,29.84,22.1613,15.956,1.45,3.84,6.6,314.1,141.1,59.6,11.1,53683,4.32,
1961-02-01,39.4,29.84,22.1344,16.014,2.54,3.78,6.9,316.5,141.6,59.6,11.1,53557,4.27,
1961-03-01,39.5,29.84,22.2691,16.213,2.02,3.74,6.9,318.3,141.9,59.7,10.4,53659,4.22,
1961-04-01,39.5,29.81,22.7268,16.221,1.49,3.78,7.0,319.9,142.1,59.3,10.6,53627,4.25,
1961-05-01,39.7,29.84,23.0769,16.32,1.98,3.71,7.1,322.2,142.7,59.4,10.8,53786,4.27,
1961-06-01,40.0,29.84,23.4,16.359,1.73,3.88,6.9,324.3,142.9,59.7,11.5,53977,4.33,
1961-07-01,40.0,29.92,23.6693,16.31,1.17,3.92,7.0,325.6,142.9,59.3,12.0,54123,4.41,
1961-08-01,40.1,29.94,23.8847,16.368,2.0,4.04,6.6,327.6,143.5,59.3,11.7,54298,4.45,
1961-09-01,39.5,29.98,23.8578,16.46,1.88,3.98,6.7,329.5,143.8,59.0,11.3,54388,4.45,
1961-10-01,40.3,29.98,24.3156,16.563,2.26,3.92,6.5,331.1,144.1,59.1,11.7,54522,4.42,
1961-11-01,40.7,29.98,24.6926,16.724,2.61,3.94,6.1,333.4,144.8,59.1,11.6,54742,4.39,
1961-12-01,40.4,30.01,24.908,16.84,2.33,4.06,6.0,335.5,145.2,58.8,11.6,54872,4.42,
1962-01-01,40.0,30.04,24.6925,16.845,2.15,4.08,5.8,337.5,145.2,58.8,11.3,54891,4.42,
1962-02-01,40.4,30.11,25.0964,16.837,2.37,4.04,5.5,340.1,145.7,59.0,11.8,55188,4.42,
1962-03-01,40.6,30.17,25.2311,16.976,2.85,3.93,5.6,343.1,146.0,58.9,11.6,55275,4.39,
1962-04-01,40.6,30.21,25.285,17.035,2.78,3.84,5.6,345.5,146.4,58.7,11.7,55602,4.33,
1962-05-01,40.6,30.24,25.258,17.166,2.36,3.87,5.5,347.5,146.8,58.9,11.1,55628,4.28,
1962-06-01,40.5,30.21,25.2042,17.08,2.68,3.91,5.5,349.3,146.6,58.8,11.5,55644,4.28,
1962-07-01,40.5,30.22,25.4465,17.135,2.71,4.01,5.4,350.8,146.5,58.5,11.6,55746,4.34,
1962-08-01,40.5,30.28,25.4734,17.183,2.93,3.98,5.7,352.8,146.6,59.0,11.4,55838,4.35,
1962-09-01,40.5,30.42,25.635,17.375,2.9,3.98,5.6,354.9,146.3,59.0,10.4,55978,4.32,
1962-10-01,40.3,30.38,25.6619,17.289,2.9,3.93,5.4,357.2,146.7,58.7,11.3,56041,4.28,
