DATE,Customs_Duties,Imports_Goods,GDP_nominal
1960-01-01,1.176,15.7,542.648
1960-04-01,1.084,15.888,541.08
1960-07-01,1.016,15.056,545.604
1960-10-01,0.988,14.236,540.197
1961-01-01,0.976,14.064,545.018
1961-04-01,0.956,14.256,555.545
1961-07-01,1.068,15.76,567.664
1961-10-01,1.12,16.132,580.612
1962-01-01,1.192,16.44,594.013
1962-04-01,1.212,16.92,600.366
1962-07-01,1.184,17.084,609.027
1962-10-01,1.22,17.032,612.28
1963-01-01,1.2,16.916,621.672
1963-04-01,1.228,17.568,629.752
1963-07-01,1.236,18.152,644.444
1963-10-01,1.244,18.216,653.938
1964-01-01,1.236,18.344,669.822
1964-04-01,1.288,19.08,678.674
1964-07-01,1.34,19.72,692.031
1964-10-01,1.408,20.424,697.319
1965-01-01,1.424,19.552,717.79
1965-04-01,1.624,22.436,730.191
1965-07-01,1.676,22.808,749.323
1965-10-01,1.728,24.192,771.857
1966-01-01,1.796,24.852,795.734
1966-04-01,1.888,25.612,804.981
1966-07-01,1.892,27.16,819.638
1966-10-01,1.9,27.712,833.302
1967-01-01,1.924,27.704,844.17
1967-04-01,1.892,26.796,848.983
1967-07-01,1.82,27.012,865.233
1967-10-01,2.0,29.532,881.439
1968-01-01,2.132,32.116,909.387
1968-04-01,2.22,33.152,934.344
1968-07-01,2.364,35.408,950.825
1968-10-01,2.316,35.108,968.03
1969-01-01,1.992,30.772,993.337
1969-04-01,2.6,39.116,1009.02
1969-07-01,2.484,38.536,1029.956
1969-10-01,2.404,38.828,1038.147
1970-01-01,2.42,39.348,1051.2
1970-04-01,2.424,40.068,1067.375
1970-07-01,2.512,41.18,1086.059
1970-10-01,2.58,42.824,1088.608
1971-01-01,2.556,43.376,1135.156
1971-04-01,2.708,47.44,1156.271
1971-07-01,3.216,49.64,1177.675
1971-10-01,3.968,45.744,1190.297
1972-01-01,3.148,55.092,1230.609
1972-04-01,2.8,54.092,1266.369
1972-07-01,2.904,57.288,1290.566
1972-10-01,3.136,61.264,1328.904
1973-01-01,3.42,66.46,1377.49
1973-04-01,3.296,70.04,1413.887
1973-07-01,3.156,72.1,1433.838
1973-10-01,3.212,78.772,1476.289
1974-01-01,3.396,88.832,1491.209
1974-04-01,3.564,106.388,1530.056
1974-07-01,3.82,110.6,1560.026
1974-10-01,3.852,112.26,1599.679
1975-01-01,4.136,100.936,1616.116
1975-04-01,5.172,92.264,1651.853
1975-07-01,6.864,98.772,1709.82
1975-10-01,7.284,104.028,1761.831
1976-01-01,4.3,113.54,1820.487
1976-04-01,4.564,121.324,1852.332
1976-07-01,4.748,128.92,1886.558
1976-10-01,4.628,134.744,1934.273
1977-01-01,5.028,147.624,1988.648
1977-04-01,5.312,153.15,2055.909
1977-07-01,5.768,153.171,2118.473
1977-10-01,5.504,156.571,2164.27
1978-01-01,6.444,170.334,2202.76
1978-04-01,7.1,175.132,2331.633
1978-07-01,7.308,179.406,2395.053
1978-10-01,7.548,184.765,2476.949
1979-01-01,7.588,192.183,2526.61
1979-04-01,7.584,204.074,2591.247
1979-07-01,7.28,216.774,2667.565
1979-10-01,7.364,238.117,2723.883
1980-01-01,7.204,259.654,2789.842
1980-04-01,6.912,248.469,2797.352
1980-07-01,7.212,234.147,2856.483
1980-10-01,7.312,252.012,2985.557
1981-01-01,7.852,270.186,3124.206
1981-04-01,8.344,271.773,3162.532
1981-07-01,8.84,260.494,3260.609
1981-10-01,9.32,268.804,3280.818
1982-01-01,9.084,257.624,3274.302
1982-04-01,8.7,245.844,3331.972
1982-07-01,8.308,257.204,3366.322
1982-10-01,8.344,241.496,3402.561
1983-01-01,7.616,242.509,3473.413
1983-04-01,8.992,262.76,3578.848
1983-07-01,9.624,285.851,3689.179
1983-10-01,10.132,299.59,3794.706
1984-01-01,10.944,322.454,3908.054
1984-04-01,12.124,337.925,4009.601
1984-07-01,12.252,339.857,4084.25
1984-10-01,12.292,345.028,4148.551
1985-01-01,12.264,325.388,4230.168
1985-04-01,11.696,344.425,4294.887
1985-07-01,12.02,340.521,4386.773
1985-10-01,12.652,362.844,4444.094
1986-01-01,12.84,357.705,4507.894
1986-04-01,13.432,365.1,4545.34
1986-07-01,14.348,374.757,4607.669
1986-10-01,14.168,382.462,4657.627
1987-01-01,14.9,389.536,4722.156
1987-04-01,15.872,409.062,4806.16
1987-07-01,15.448,422.798,4884.555
1987-10-01,15.912,437.677,5007.994
1988-01-01,16.316,441.487,5073.372
1988-04-01,16.144,445.679,5190.036
1988-07-01,16.46,451.121,5282.835
1988-10-01,16.728,470.214,5399.509
1989-01-01,17.044,481.986,5511.253
1989-04-01,17.52,490.713,5612.463
1989-07-01,17.748,477.447,5695.365
1989-10-01,17.612,489.02,5747.237
1990-01-01,17.668,510.376,5872.701
1990-04-01,17.812,495.803,5960.028
1990-07-01,17.476,506.283,6015.116
1990-10-01,17.004,519.82,6004.733
1991-01-01,16.548,496.967,6035.178
1991-04-01,16.16,491.023,6126.862
1991-07-01,16.736,500.436,6205.937
1991-10-01,17.9,514.455,6264.54
1992-01-01,17.7,523.47,6363.102
1992-04-01,17.988,537.882,6470.763
1992-07-01,18.68,553.86,6566.641
1992-10-01,18.94,564.495,6680.803
1993-01-01,18.68,575.865,6729.459
1993-04-01,20.2,590.145,6808.939
1993-07-01,20.444,592.109,6882.098
1993-10-01,19.916,612.924,7013.738
1994-01-01,20.584,627.223,7115.652
1994-04-01,21.264,662.022,7246.931
1994-07-01,22.016,695.66,7331.075
1994-10-01,21.904,722.344,7455.288
1995-01-01,19.992,745.464,7522.289
1995-04-01,19.976,764.255,7580.997
1995-07-01,19.628,759.719,7683.125
1995-10-01,19.68,760.356,7772.586
1996-01-01,20.148,784.526,7868.468
1996-04-01,19.364,798.397,8032.84
1996-07-01,19.7,814.409,8131.408
1996-10-01,17.672,832.459,8259.771
1997-01-01,18.976,861.459,8362.655
1997-04-01,20.424,871.959,8518.825
1997-07-01,19.808,898.369,8662.823
1997-10-01,19.26,910.83,8765.907
1998-01-01,19.4,920.8,8866.48
1998-04-01,19.556,926.876,8969.699
1998-07-01,19.84,922.498,9121.097
1998-10-01,19.548,952.829,9293.991
1999-01-01,18.216,978.939,9411.682
1999-04-01,17.856,1024.016,9526.21
